Transplant Year,Age Group,Organ,N,Graft Survival Rate ,Patient Survival Rate ,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
1997,35-49,Kidney,3547,36.4,52.4,4181,1830,1628,543,180,38,839,1137,620,6,0,480,374,180,287,220,4889,1237,669,0,228,41,22,0
1997,50-64,Kidney,3336,26.29,31.09,3647,1594,1454,425,174,19,985,645,608,8,1,442,466,183,119,171,4910,1075,573,2,178,48,25,0
1997,65+,Kidney,688,10.26,10.54,718,283,303,93,39,2,158,136,153,4,0,101,74,35,11,44,965,133,77,0,37,4,3,0
1996,<1 Year,Kidney,6,0,0,7,5,1,0,1,2,0,0,0,0,0,4,1,0,0,0,152,49,37,0,7,1,0,0
1996,1-5 Years,Kidney,126,45.86,85.84,139,63,55,17,4,46,0,15,1,1,0,32,15,2,4,23,272,70,60,0,10,1,3,0
1996,6-10 Years,Kidney,129,40.4,80.31,146,71,55,13,7,43,0,40,1,1,1,28,7,0,5,20,172,45,45,0,7,4,0,0
1996,11-17 Years,Kidney,355,32.9,78.3,417,207,146,43,21,83,2,146,5,1,0,77,8,4,33,58,395,139,102,0,18,7,1,0
1996,18-34,Kidney,2127,37.16,72.99,2574,1205,964,296,109,116,320,1037,264,9,6,327,38,78,171,208,2286,726,414,0,83,22,15,0
1996,35-49,Kidney,3547,34.97,50.81,4162,1797,1650,502,213,49,905,1117,580,5,20,461,395,204,198,228,4909,1249,591,0,203,61,22,1
1996,50-64,Kidney,3011,24.3,28.74,3285,1430,1326,376,153,23,850,696,490,10,11,363,395,171,78,198,4660,962,559,1,185,54,20,1
1996,65+,Kidney,658,11.18,10.09,681,299,277,75,30,3,155,133,135,2,3,79,67,38,8,58,903,124,79,0,32,5,1,0
1995,<1 Year,Kidney,7,0,0,7,2,4,0,1,3,0,0,0,0,0,4,0,0,0,0,162,14,39,0,11,0,1,0
1995,1-5 Years,Kidney,104,36.21,87.81,112,55,44,11,2,34,0,14,0,2,0,33,3,2,5,19,245,66,67,0,14,3,0,0
1995,6-10 Years,Kidney,124,41.9,82.52,147,66,55,20,6,38,1,39,1,3,0,23,7,2,9,24,184,49,47,0,6,6,0,0
1995,11-17 Years,Kidney,390,33.23,81.38,454,212,157,69,16,82,3,174,2,3,1,80,12,6,25,66,427,130,106,0,19,13,2,0
