Transplant Year,Age Group,All Diagnoses,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases
2001,11-17 Years,429,93,0,145,9,4,0,74,15,6,39,44
2001,18-34 Years,2684,86,214,934,260,3,0,406,55,105,471,150
2001,35-49 Years,4669,53,797,1065,626,11,1,561,446,197,742,170
2001,50-64 Years,4912,16,1402,755,744,22,0,577,571,238,370,217
2001,65 +,1288,4,342,176,273,8,0,193,117,68,39,68
2000,< 1 Year,4,1,0,1,0,0,0,2,0,0,0,0
2000,1-5 Years,107,37,0,14,0,1,0,33,7,0,3,12
2000,6-10 Years,126,28,0,30,1,1,0,35,5,0,12,14
2000,11-17 Years,392,85,2,129,5,0,0,76,10,1,44,40
2000,18-34 Years,2603,83,216,959,229,8,0,415,36,89,414,154
2000,35-49 Years,4652,43,772,1134,583,7,1,573,415,197,722,205
2000,50-64 Years,4535,26,1231,747,636,16,1,563,537,207,357,214
2000,65 +,1212,10,313,172,232,5,0,205,101,70,35,69
1999,< 1 Year,9,2,0,1,1,0,0,2,1,0,0,2
1999,1-5 Years,136,48,0,16,0,4,0,36,15,0,5,12
1999,6-10 Years,144,43,0,33,2,1,0,32,7,3,12,11
1999,11-17 Years,461,92,2,149,4,0,0,94,17,4,50,49
1999,18-34 Years,2570,103,220,970,255,3,1,404,31,91,311,181
1999,35-49 Years,4288,45,800,1108,541,9,3,483,388,212,491,208
1999,50-64 Years,4208,28,1200,710,638,13,4,465,513,216,224,197
1999,65 +,951,5,236,162,181,4,1,139,75,74,30,44
1998,< 1 Year,3,2,0,0,0,0,0,1,0,0,0,0
1998,1-5 Years,115,34,0,20,0,2,0,32,11,2,5,9
1998,6-10 Years,153,43,0,47,0,0,1,27,10,2,8,15
1998,11-17 Years,393,80,0,125,5,0,0,92,2,5,37,47
1998,18-34 Years,2604,89,270,1028,258,2,2,423,49,70,221,192
1998,35-49 Years,4342,55,849,1133,585,4,4,599,398,181,303,231
1998,50-64 Years,3934,19,1104,720,595,7,4,516,473,178,144,174
1998,65 +,911,3,205,160,180,6,3,139,84,55,17,59
1997,< 1 Year,3,1,0,0,0,0,0,2,0,0,0,0
1997,1-5 Years,132,56,0,17,0,4,0,37,4,0,2,12
1997,6-10 Years,137,46,0,30,0,0,0,23,4,1,10,23
1997,11-17 Years,405,81,0,153,4,1,0,86,4,3,25,48
1997,18-34 Years,2487,91,256,995,245,4,1,408,37,72,200,178
1997,35-49 Years,4181,38,839,1137,620,6,0,480,374,180,287,220
1997,50-64 Years,3647,19,985,645,608,8,1,442,466,183,119,171
1997,65 +,718,2,158,136,153,4,0,101,74,35,11,44
1996,< 1 Year,7,2,0,0,0,0,0,4,1,0,0,0
1996,1-5 Years,139,46,0,15,1,1,0,32,15,2,4,23
1996,6-10 Years,146,43,0,40,1,1,1,28,7,0,5,20
1996,11-17 Years,417,83,2,146,5,1,0,77,8,4,33,58
1996,18-34 Years,2574,116,320,1037,264,9,6,327,38,78,171,208
1996,35-49 Years,4162,49,905,1117,580,5,20,461,395,204,198,228
1996,50-64 Years,3285,23,850,696,490,10,11,363,395,171,78,198
1996,65 +,681,3,155,133,135,2,3,79,67,38,8,58
1995,< 1 Year,7,3,0,0,0,0,0,4,0,0,0,0
1995,1-5 Years,112,34,0,14,0,2,0,33,3,2,5,19
1995,6-10 Years,147,38,1,39,1,3,0,23,7,2,9,24
1995,11-17 Years,454,82,3,174,2,3,1,80,12,6,25,66
1995,18-34 Years,2624,116,347,1095,243,6,1,326,53,93,140,204
1995,35-49 Years,4064,61,839,1183,555,7,3,398,374,226,174,244
1995,50-64 Years,3070,13,779,658,452,11,2,337,407,168,81,162
1995,65 +,606,3,130,132,108,4,0,88,58,47,7,29
1994,< 1 Year,4,1,0,0,0,0,0,3,0,0,0,0
1994,1-5 Years,93,39,0,6,0,1,0,30,7,0,3,7
1994,6-10 Years,140,37,1,31,1,1,0,43,5,1,5,15
1994,11-17 Years,436,59,1,153,8,2,0,120,5,3,26,59
1994,18-34 Years,2720,116,354,1005,216,5,0,607,30,83,112,192
1994,35-49 Years,3925,49,811,1021,505,5,0,780,282,162,122,188
1994,50-64 Years,2811,12,652,517,413,6,0,560,347,137,42,125
1994,65 +,517,1,87,109,98,2,0,115,39,32,4,30
1993,< 1 Year,6,2,0,1,0,0,0,2,0,0,0,1
1993,1-5 Years,145,57,0,23,0,2,0,28,10,1,2,22
1993,6-10 Years,135,46,0,36,0,1,0,32,1,0,2,17
1993,11-17 Years,376,60,1,156,8,1,0,100,10,0,3,37
1993,18-34 Years,2815,78,457,1246,261,6,0,468,41,22,37,199
1993,35-49 Years,3759,29,856,1153,624,5,0,445,380,36,38,193
1993,50-64 Years,2674,4,636,632,500,9,1,310,392,38,13,139
1993,65 +,450,3,81,104,94,2,1,68,48,19,3,27
1992,< 1 Year,4,0,0,0,0,0,0,1,1,0,0,2
1992,1-5 Years,121,40,0,20,0,1,0,31,16,0,2,11
1992,6-10 Years,122,30,0,32,3,1,0,30,8,1,1,16
1992,11-17 Years,344,77,0,139,4,1,0,62,7,0,3,51
1992,18-34 Years,2722,64,422,1212,297,3,0,428,53,12,29,202
1992,35-49 Years,3630,22,805,1151,674,3,0,395,346,16,29,189
1992,50-64 Years,2375,13,506,568,477,10,0,248,395,23,15,120
