,Transplant Year,Age Group,N,Graft_Survival_Rate ,Patient Survival Rate,All ABO,O,A,B,AB,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
52,2013,18-34,1654,90,98.8,2070,949,781,239,101,112,98,883,239,6,1,313,58,29,215,116,1653,687,550,0,149,17,8,17
53,2013,35-49,3352,91.96,97.25,4123,1904,1462,573,184,55,780,1106,820,6,0,365,406,70,377,138,3266,1636,985,1,326,45,25,26
54,2013,50-64,5873,90.09,93.96,6850,3048,2544,906,352,50,2245,1097,1290,24,1,622,793,106,390,232,7771,2416,1708,0,619,86,43,34
55,2013,65+,2851,84.16,87.94,3102,1356,1204,390,152,17,1121,361,730,22,0,314,250,53,78,156,3490,737,507,0,278,28,19,11
56,2012,<1 Year,2,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,159,45,51,0,17,0,1,4
57,2012,1-5 Years,174,93.06,97.64,187,96,60,19,12,79,0,17,1,4,0,59,12,2,0,13,285,93,108,0,21,3,1,8
58,2012,6-10 Years,124,95.93,100,139,66,49,19,5,43,0,27,1,1,0,45,6,0,6,10,143,49,66,0,18,1,1,3
59,2012,11-17 Years,384,93.02,98.91,430,210,149,56,15,105,1,129,8,0,0,119,8,0,20,40,374,112,174,1,19,9,0,7
60,2012,18-34,1721,89.36,98.5,2151,1000,781,264,106,102,90,939,283,6,0,325,51,21,205,129,1642,682,577,1,159,20,8,16
61,2012,35-49,3396,91.09,96.77,4180,1904,1533,531,212,54,734,1126,835,9,0,408,441,59,391,123,3327,1588,1017,3,353,55,24,23
62,2012,50-64,5462,89.33,93.38,6445,2818,2398,885,344,36,2090,1038,1352,21,0,556,703,82,339,228,7577,2346,1545,1,547,81,26,33
63,2012,65+,2713,82.91,86.12,2953,1218,1180,390,165,20,1078,393,718,15,0,252,226,49,75,127,3216,671,440,0,266,24,8,10
64,2011,<1 Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,35,47,0,13,7,2,6
65,2011,1-5 Years,168,95.79,98.78,173,108,41,21,3,77,0,13,2,1,0,60,11,0,1,8,274,94,111,4,19,1,3,8
66,2011,6-10 Years,113,94.67,100,130,71,42,13,4,35,2,34,0,1,0,33,6,0,9,10,153,48,57,0,13,1,1,0
67,2011,11-17 Years,412,91.5,99.23,454,230,155,60,9,110,0,145,6,5,0,143,10,0,12,23,344,148,200,0,25,4,2,7
68,2011,18-34,1617,87.19,97.29,2012,954,745,232,81,111,96,860,263,7,0,277,43,29,211,115,1642,682,537,5,144,21,8,15
69,2011,35-49,3616,90.85,96.42,4417,2021,1641,573,182,63,751,1215,923,15,0,400,442,59,404,145,3503,1704,991,1,316,45,20,29
70,2011,50-64,5763,87.9,92.41,6679,2945,2466,897,371,47,2164,1020,1353,24,0,550,788,104,337,292,7829,2477,1537,2,564,89,27,50
