,Transplant Year,Age Group,Number_of_Transplants,Graft_Survival_Rate_20,Patient_Survival_Rate_20,Blood_O,Blood_A,Blood_B,Blood_AB,Deceased_Donor,Living_Donor,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
77,1993,18-34,2322,22.93,56.1,1308,1102,300,105,2749,1057,78,457,1246,261,6,0,468,41,22,37,199,2563,702,409,5,96,22,9,0
78,1993,35-49,3211,21.41,33.26,1698,1439,473,149,5197,906,29,856,1153,624,5,0,445,380,36,38,193,4318,1049,536,7,152,30,11,0
79,1993,50-64,2452,10.8,11.7,1156,1074,319,125,4967,474,4,636,632,500,9,1,310,392,38,13,139,4105,753,396,5,141,35,6,0
80,1993,65+,427,0.0,0.0,206,194,35,15,696,52,3,81,104,94,2,1,68,48,19,3,27,629,59,38,2,15,5,0,0
81,1992,<1 Year,4,0.0,0.0,1,3,0,0,216,17,0,0,0,0,0,0,1,1,0,0,2,155,32,38,1,4,2,1,0
82,1992,1-5 Years,99,23.67,76.06,55,48,14,4,308,82,40,0,20,0,1,0,31,16,0,2,11,229,64,76,2,13,6,0,0
83,1992,6-10 Years,105,18.73,70.62,49,52,13,8,144,77,30,0,32,3,1,0,30,8,1,1,16,158,33,21,0,6,3,0,0
84,1992,11-17 Years,271,21.27,70.03,165,121,39,19,365,170,77,0,139,4,1,0,62,7,0,3,51,345,93,75,0,16,5,1,0
85,1992,18-34,2128,22.25,53.63,1273,1036,304,109,2685,931,64,422,1212,297,3,0,428,53,12,29,202,2414,693,364,3,106,22,14,0
86,1992,35-49,3013,19.79,31.03,1704,1328,426,172,4852,847,22,805,1151,674,3,0,395,346,16,29,189,3975,1012,480,2,186,32,12,0
87,1992,50-64,2113,11.14,11.94,1073,910,266,126,4379,394,13,506,568,477,10,0,248,395,23,15,120,3636,599,353,3,137,35,10,0
88,1992,65+,395,0.0,0.0,185,176,40,19,614,53,1,46,110,109,4,0,62,40,16,3,29,551,44,50,2,15,5,0,0
89,1991,<1 Year,10,0.0,0.0,5,4,0,1,268,17,7,0,1,0,0,0,1,0,0,0,1,205,31,40,0,4,1,3,1
90,1991,1-5 Years,97,28.6,83.95,58,50,8,4,299,85,35,0,25,1,1,0,35,12,0,2,9,263,62,50,0,5,3,1,0
91,1991,6-10 Years,121,24.96,73.96,88,56,14,5,166,96,48,0,53,2,0,0,28,4,2,4,22,173,46,32,0,6,4,1,0
92,1991,11-17 Years,260,22.09,71.37,154,147,32,15,349,176,61,1,137,3,2,0,77,12,2,3,50,367,79,64,0,8,6,1,0
93,1991,18-34,2209,24.72,52.89,1300,1093,340,134,2754,959,58,489,1267,266,1,5,464,46,12,29,230,2492,725,354,3,104,23,12,0
94,1991,35-49,2952,19.36,29.85,1594,1385,434,175,4804,760,26,865,1139,578,3,2,401,321,24,25,205,4023,915,441,11,139,24,11,0
95,1991,50-64,1971,11.19,12.15,1013,896,250,84,4155,311,3,493,590,428,6,2,221,356,27,6,111,3439,564,307,8,109,35,4,0
96,1991,65+,318,0.0,0.0,154,129,39,16,534,23,0,46,105,79,1,0,47,32,6,1,21,471,40,23,0,16,5,2,0
97,1990,<1 Year,5,0.0,0.0,4,2,2,0,228,13,1,0,0,0,0,0,3,2,1,0,1,185,25,26,3,1,1,0,0
98,1990,1-5 Years,91,24.32,73.87,48,45,21,2,302,62,27,0,19,3,2,0,36,6,1,1,21,234,79,38,3,9,1,0,0
99,1990,6-10 Years,112,26.98,69.89,61,59,20,6,173,66,40,0,39,0,0,0,35,5,1,4,22,169,39,22,2,5,1,0,1
100,1990,11-17 Years,272,19.69,69.92,181,138,40,13,392,160,73,1,141,10,2,1,80,9,4,0,51,373,84,78,3,8,4,1,1
101,1990,18-34,2178,23.1,53.87,1290,1120,315,113,2793,898,84,525,1260,177,4,6,383,49,77,15,262,2623,644,312,7,78,19,8,0
102,1990,35-49,2859,19.19,31.11,1544,1335,414,163,4676,640,20,777,1144,437,4,8,332,367,152,16,204,3795,935,413,8,132,25,8,0
103,1990,50-64,1947,10.56,11.85,917,898,249,109,3880,257,8,417,596,330,8,4,226,339,115,8,124,3179,538,253,17,117,28,5,0
104,1990,65+,274,0.0,0.0,127,124,32,13,434,27,0,28,96,55,6,0,42,33,18,1,17,403,24,22,0,9,3,0,0
105,1989,<1 Year,5,0.0,0.0,3,3,0,0,198,4,1,0,0,0,0,0,4,0,0,0,1,156,21,18,0,6,0,0,1
106,1989,1-5 Years,95,27.06,79.6,71,33,11,3,277,65,47,0,10,0,1,0,34,8,3,0,15,210,62,50,2,16,1,1,0
107,1989,6-10 Years,104,14.59,69.44,72,49,23,2,166,62,36,1,45,2,2,0,29,4,1,0,26,155,37,26,0,6,3,1,0
108,1989,11-17 Years,266,25.08,63.44,163,139,49,15,319,162,51,0,160,2,1,1,74,8,6,3,60,290,100,71,0,15,4,1,0
109,1989,18-34,2059,23.52,50.99,1198,1056,344,99,2655,813,79,508,1207,211,3,2,344,46,32,21,244,2463,595,278,3,95,23,11,0
110,1989,35-49,2630,17.93,28.71,1516,1178,349,156,4133,568,23,748,1073,423,3,4,321,308,88,15,194,3418,793,335,4,99,48,4,0
111,1989,50-64,1688,10.14,11.05,860,727,234,97,3189,237,6,366,550,331,7,1,190,293,52,3,119,2597,503,216,8,81,19,2,0
112,1989,65+,191,0.0,0.0,85,78,31,11,285,7,1,21,59,45,3,0,30,21,6,0,19,250,25,8,0,7,2,0,0
113,1988,<1 Year,7,0.0,0.0,3,4,1,0,123,7,1,0,0,0,0,0,3,1,0,0,3,98,19,9,0,3,0,1,0
114,1988,1-5 Years,81,23.93,71.55,51,50,13,5,259,53,45,0,16,0,1,0,31,7,0,2,17,200,48,50,2,12,0,0,0
115,1988,6-10 Years,83,22.59,74.51,58,52,10,3,170,45,29,0,44,1,0,0,15,3,0,1,30,155,33,23,1,1,1,1,0
116,1988,11-17 Years,271,19.41,66.35,182,163,44,18,369,170,76,0,177,8,2,1,65,11,2,3,62,356,103,62,3,11,4,0,0
117,1988,18-34,2076,24.23,50.51,1286,1060,322,125,2581,853,88,593,1220,199,2,1,375,51,20,10,235,2419,603,303,3,83,16,7,0
118,1988,35-49,2579,17.21,27.5,1486,1274,383,146,3982,501,32,780,1104,465,5,3,322,337,32,8,201,3196,838,291,5,109,43,1,0
119,1988,50-64,1654,10.71,10.48,876,730,232,88,3055,190,2,333,561,374,5,1,190,322,24,2,112,2487,490,179,6,60,20,3,0
120,1988,65+,195,0.0,0.0,98,80,17,17,255,10,0,17,66,51,4,0,28,33,1,1,11,219,28,11,1,4,2,0,0
