,,,All Recipient States of Residence,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
To Date,All Recipient Ages,,"556,302","8,571",794,"10,582","4,266","61,778","7,139","5,729","1,792","1,522","29,701","14,141","1,934","2,093","26,399","9,917","5,540","4,200","6,325","7,471","1,885","13,854","11,493","18,942","10,383","4,978","10,170","1,400","3,222","3,555","1,770","17,186","3,136","37,954","15,024","1,291","20,983","5,305","5,047","25,899","2,917","1,831","8,166","1,483","10,541","41,489","4,211",880,"15,508","9,658","3,010","10,537",657,"22,043"
,18-34 Years,,"2,684",31,3,28,21,281,23,24,9,6,136,54,8,9,142,54,32,21,38,46,20,76,65,126,58,32,52,8,16,23,7,85,11,200,55,3,126,26,35,123,32,12,43,5,66,184,27,2,72,48,9,49,6,16
,35-49 Years,,"4,669",83,7,88,38,508,49,52,17,14,212,111,16,14,202,97,54,27,58,67,32,156,110,180,107,41,63,17,30,28,25,158,28,327,122,17,193,44,56,259,33,26,72,15,85,318,36,9,123,93,27,96,3,26
,
,50-64 Years,,"4,912",78,10,84,29,507,57,64,21,12,256,122,20,12,242,86,51,35,64,72,21,160,122,185,121,45,76,18,16,42,13,174,19,280,118,28,204,53,72,299,37,30,87,19,97,296,38,4,143,89,38,110,6,30
,65 +,,"1,288",10,0,28,6,131,17,9,8,5,96,19,2,2,47,10,24,3,15,20,11,46,36,41,35,8,23,3,8,10,4,62,9,93,20,8,39,18,21,104,6,8,21,7,14,57,7,2,41,27,9,32,0,6
2000,All Recipient Ages,,"13,631",249,18,191,107,"1,478",166,142,56,40,659,314,43,66,672,241,180,100,138,208,70,515,291,539,321,92,267,56,75,91,41,477,79,882,318,42,601,115,156,722,82,63,216,32,268,928,98,22,335,279,85,277,19,109
,< 1 Year,,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1-5 Years,,107,3,0,0,2,12,3,1,0,0,8,2,0,0,9,6,1,1,0,2,0,1,1,2,1,1,5,0,1,3,0,0,0,7,2,0,5,0,3,4,0,0,1,0,4,5,1,1,1,1,2,4,0,1
,6-10 Years,,126,1,0,4,1,12,1,6,1,1,3,3,0,0,6,2,2,1,1,2,0,0,2,5,1,1,2,0,2,1,1,3,1,12,0,0,9,0,2,9,0,0,1,0,8,11,0,0,2,0,1,5,0,0
,11-17 Years,,392,9,0,5,2,53,4,2,1,0,17,7,0,5,18,7,6,2,4,10,1,8,4,20,6,3,10,3,1,4,2,26,4,21,12,0,11,2,4,19,1,1,5,0,10,24,3,1,14,8,0,8,0,4
,18-34 Years,,"2,603",47,0,37,30,315,31,29,9,6,111,64,10,12,122,55,34,26,28,49,17,73,64,108,45,24,39,6,14,21,6,91,16,162,56,9,106,23,25,120,26,13,44,7,50,180,32,3,52,52,18,61,3,22
,35-49 Years,,"4,652",88,7,63,29,488,54,54,15,13,202,102,15,23,256,84,63,38,45,75,20,179,98,182,126,29,96,23,30,29,15,148,26,324,122,17,202,37,59,223,28,19,78,13,86,336,32,7,124,85,27,77,5,36
,50-64 Years,,"4,535",89,10,70,39,470,52,39,23,18,226,116,15,20,217,77,54,24,46,54,23,194,101,190,112,30,89,20,20,24,14,165,24,283,101,10,210,42,48,248,21,26,62,7,94,310,27,8,114,96,28,88,10,37
,65 +,,"1,212",12,1,12,4,126,21,11,7,2,92,20,3,6,44,10,20,8,14,16,9,60,21,32,30,4,26,4,7,9,3,43,8,73,25,6,58,11,15,99,6,4,24,5,16,62,3,2,28,37,9,34,1,9
1999,All Recipient Ages,,"12,767",189,15,204,102,"1,345",141,130,57,50,683,282,56,59,596,205,151,98,152,177,57,459,283,493,274,115,270,39,64,73,32,459,70,868,304,37,493,133,121,691,79,48,194,42,248,886,107,29,345,234,106,262,16,144
,< 1 Year,,9,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,1-5 Years,,136,1,2,2,0,21,1,3,2,0,5,1,1,1,8,2,2,0,1,5,0,0,1,0,4,2,1,1,1,1,0,4,1,10,3,0,2,2,2,11,0,1,2,0,1,12,2,1,4,4,1,3,0,1
,6-10 Years,,144,1,0,6,0,9,0,2,0,3,10,4,0,1,9,0,3,1,2,3,0,4,3,7,2,2,3,0,1,0,0,8,0,8,3,0,6,0,2,4,1,1,2,1,2,15,1,0,3,3,0,4,0,4
,11-17 Years,,461,4,1,6,6,59,7,3,0,1,18,12,1,1,27,8,5,4,4,8,1,10,9,7,11,4,6,1,3,5,4,17,7,30,15,2,18,4,3,23,1,1,13,2,3,35,7,0,16,8,6,6,1,7
,18-34 Years,,"2,570",38,0,36,19,274,27,32,10,9,133,66,11,11,109,50,26,22,27,41,13,82,55,99,49,30,61,10,13,14,6,96,14,190,75,2,103,22,16,109,26,11,43,6,51,175,28,2,78,49,21,48,4,28
,35-49 Years,,"4,288",71,6,64,35,465,38,49,17,19,208,85,15,19,207,63,47,36,68,50,19,157,101,176,83,45,86,12,27,20,8,148,23,273,104,13,183,38,49,219,23,14,66,13,91,303,31,10,110,92,35,86,4,64
,50-64 Years,,"4,208",64,5,81,37,422,52,32,23,14,229,92,23,21,205,71,55,31,41,54,15,165,97,169,97,27,94,14,16,23,11,148,19,289,84,15,161,57,43,243,26,19,57,17,89,282,32,11,117,63,35,87,6,28
,65 +,,951,10,1,9,5,95,15,9,5,4,80,21,5,5,30,10,13,4,9,16,9,41,17,35,27,5,19,1,3,10,3,36,6,68,20,4,20,10,6,82,2,1,11,3,10,64,6,5,17,15,8,28,1,12
1998,All Recipient Ages,,"12,455",198,17,186,104,"1,405",137,137,62,27,614,264,46,49,592,252,127,104,170,160,57,361,278,484,252,125,260,39,62,79,49,372,68,797,312,30,510,119,100,653,94,51,197,37,234,865,108,18,350,247,98,288,18,192
,< 1 Year,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
,1-5 Years,,115,1,0,2,5,14,1,1,1,0,5,2,0,1,8,0,1,0,0,3,0,2,1,5,1,2,5,0,0,2,0,4,1,9,5,0,5,1,1,3,1,1,3,1,0,8,0,0,2,1,0,4,0,2
,6-10 Years,,153,0,0,4,0,15,4,2,0,0,9,3,0,0,7,5,0,0,4,1,1,7,4,5,2,2,6,1,0,1,2,4,1,8,3,0,8,2,6,4,0,0,3,0,3,10,1,1,7,2,2,2,0,1
,11-17 Years,,393,7,0,9,2,49,6,4,0,3,12,7,1,3,19,5,3,5,4,7,2,13,5,18,9,4,6,3,0,1,1,13,4,31,16,1,13,4,5,19,1,2,3,0,5,23,7,0,11,9,3,7,1,7
,18-34 Years,,"2,604",44,4,40,25,305,35,32,10,6,119,58,10,9,123,61,30,24,36,39,10,54,48,98,53,40,55,11,13,15,9,71,14,172,68,4,107,24,18,104,28,16,45,8,52,188,41,3,65,56,15,43,2,44
,35-49 Years,,"4,342",74,7,70,39,473,43,52,21,7,186,93,21,20,207,94,39,42,60,63,23,122,97,174,85,46,71,8,23,27,18,142,27,271,91,10,179,43,36,227,41,17,77,12,82,305,28,8,135,86,33,105,7,75
,50-64 Years,,"3,934",66,5,51,31,444,37,32,24,9,201,95,13,14,192,67,45,28,57,40,15,122,103,146,73,28,101,16,24,28,16,107,16,254,115,12,168,40,26,223,23,13,56,14,77,279,27,3,103,73,31,90,6,55
,65 +,,911,6,1,10,2,104,11,14,6,2,82,6,1,2,36,20,9,5,9,7,6,41,20,38,29,3,16,0,2,5,3,31,5,52,14,3,30,5,8,73,0,2,10,2,15,51,4,3,27,20,14,36,2,8
1997,All Recipient Ages,,"11,710",218,10,161,116,"1,344",133,127,42,29,626,261,36,44,558,207,119,98,171,186,38,292,297,464,257,92,233,35,62,70,41,383,55,746,284,28,499,94,109,643,55,60,181,32,218,756,88,24,326,184,97,275,13,193
,< 1 Year,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
,1-5 Years,,132,0,0,5,0,23,2,0,1,0,6,4,0,1,6,2,1,0,5,4,0,0,5,2,2,0,0,1,1,2,1,3,0,9,2,1,4,1,0,6,0,1,4,1,3,11,0,0,0,5,0,5,0,2
,6-10 Years,,137,2,1,5,1,20,2,1,0,0,8,3,0,0,7,0,1,1,2,3,0,2,2,6,2,1,0,0,1,1,0,1,0,13,8,0,5,2,1,5,0,0,1,1,1,11,1,0,3,3,4,2,0,3
,11-17 Years,,405,12,1,2,3,55,2,4,0,1,17,7,3,2,20,10,1,3,7,10,2,6,8,17,8,8,9,0,4,0,0,13,2,24,11,1,20,2,5,23,4,0,4,2,8,24,2,0,11,3,3,10,2,9
,18-34 Years,,"2,487",62,2,46,23,286,42,24,8,2,118,69,8,13,124,37,23,19,35,45,9,53,61,114,51,23,56,9,10,18,13,76,10,154,64,2,97,19,22,102,18,19,33,10,52,153,24,7,74,37,11,44,6,50
,35-49 Years,,"4,181",85,3,53,52,461,46,46,17,12,204,78,13,10,191,90,45,39,57,61,15,101,110,156,88,30,71,12,30,24,13,146,25,278,98,9,178,39,42,231,13,20,68,11,77,289,34,8,129,62,38,98,4,71
,50-64 Years,,"3,647",55,2,41,34,419,33,41,13,14,212,89,11,13,183,60,38,33,52,54,11,111,103,149,76,28,86,11,15,19,11,115,13,217,84,11,157,25,34,212,19,18,66,5,68,225,24,8,89,62,35,94,1,48
,65 +,,718,2,1,9,3,80,6,11,3,0,61,11,1,5,27,8,10,3,13,9,1,19,8,20,29,2,11,2,1,6,3,29,5,51,17,4,38,6,5,64,1,2,5,2,9,42,3,1,20,12,6,21,0,10
1996,All Recipient Ages,,"11,411",214,18,139,103,"1,298",111,129,46,32,540,237,37,52,590,193,127,77,175,169,43,281,254,437,269,114,208,45,75,55,34,342,89,689,269,35,481,116,103,654,37,48,184,27,229,787,90,25,305,209,98,270,14,208
,< 1 Year,,7,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,1-5 Years,,139,4,0,2,2,10,3,0,0,0,9,1,0,0,10,3,2,1,2,2,1,3,2,5,9,2,4,0,1,0,0,1,1,7,4,0,4,2,2,7,0,0,1,0,1,14,2,0,2,4,2,1,0,6
,
,6-10 Years,,146,2,0,6,2,17,3,1,0,0,3,2,0,1,10,3,0,1,4,4,1,3,3,4,6,1,1,1,2,0,0,2,1,10,2,0,6,2,1,4,1,3,1,1,5,11,0,0,4,5,3,1,0,2
,11-17 Years,,417,10,1,8,6,49,4,2,1,0,10,9,2,4,34,5,5,5,3,9,2,5,4,13,5,7,7,0,5,3,2,9,5,35,4,0,23,5,3,13,2,5,3,0,7,35,3,2,15,6,4,12,0,6
,18-34 Years,,"2,574",49,3,23,19,309,25,29,8,9,98,48,12,15,125,49,30,16,51,37,12,65,47,106,61,30,47,8,16,14,6,89,12,182,60,10,112,27,17,116,9,11,43,3,58,179,32,6,74,46,9,60,2,50
,35-49 Years,,"4,162",87,7,57,39,464,45,53,18,12,194,81,12,21,211,77,50,33,60,63,16,91,102,158,92,53,64,17,31,16,12,124,30,214,106,14,169,41,48,253,15,16,63,9,98,296,24,7,107,69,38,95,7,83
,50-64 Years,,"3,285",59,5,38,27,371,28,35,16,11,168,86,9,10,175,48,32,19,48,43,11,94,73,128,73,19,72,16,16,19,12,101,37,196,81,9,140,35,25,198,10,11,59,11,48,219,23,8,84,66,35,71,4,53
,65 +,,681,3,2,5,8,77,3,8,3,0,58,9,2,1,25,8,7,2,7,11,0,20,23,22,22,2,13,3,4,3,2,16,3,45,12,2,27,4,7,63,0,2,14,3,12,33,6,2,19,13,7,29,1,8
1995,All Recipient Ages,,"11,084",220,24,134,109,"1,239",136,117,44,42,569,264,28,44,617,199,114,92,167,185,32,273,235,443,247,119,235,41,57,52,34,305,83,721,233,24,475,150,113,579,44,38,158,34,215,756,92,34,243,162,62,226,8,217
,< 1 Year,,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
,1-5 Years,,112,2,0,2,2,11,0,1,0,0,12,2,0,1,2,1,1,3,1,6,0,0,0,4,2,1,1,0,0,2,2,1,1,9,5,1,4,1,3,8,1,0,2,0,2,5,3,1,1,1,0,1,0,3
,6-10 Years,,147,3,1,2,3,20,2,2,2,0,7,3,0,1,9,2,0,0,2,4,1,1,4,3,5,0,5,0,0,0,0,3,3,13,2,2,3,2,5,7,1,0,2,0,1,7,0,1,3,1,1,5,0,3
,11-17 Years,,454,8,0,9,2,56,5,1,1,1,15,17,2,4,31,8,5,4,11,10,3,7,8,12,9,6,12,2,5,1,1,7,6,35,11,2,19,6,5,13,4,0,9,1,9,31,5,1,10,5,4,4,0,11
,18-34 Years,,"2,624",56,6,33,31,279,22,25,5,5,123,72,7,10,147,54,28,30,38,43,10,51,44,104,60,29,47,10,18,12,11,78,16,190,69,2,112,42,24,114,17,7,42,3,51,203,30,5,57,41,13,50,3,45
,35-49 Years,,"4,064",77,7,49,32,459,56,52,16,18,182,94,7,16,237,73,45,25,56,67,9,128,88,169,82,53,73,16,21,15,10,111,31,266,85,8,169,55,40,214,12,16,48,14,90,295,25,16,74,62,22,81,5,93
,50-64 Years,,"3,070",68,8,34,36,353,41,28,18,16,187,70,10,9,167,55,32,28,52,50,8,75,70,131,69,30,75,9,11,18,5,83,16,169,57,8,136,36,32,168,8,15,48,11,54,184,21,8,76,40,21,67,0,49
,65 +,,606,6,2,5,3,60,10,8,2,2,43,6,2,3,24,6,3,2,7,5,1,11,21,20,17,0,22,4,2,4,5,22,10,39,4,1,32,8,4,54,1,0,7,5,7,31,8,2,22,12,1,17,0,13
1994,All Recipient Ages,,"10,646",205,18,155,102,"1,178",101,98,35,38,476,232,38,28,538,201,165,78,156,192,50,249,243,401,224,102,253,47,52,56,29,310,68,654,267,31,427,143,105,510,43,41,185,32,189,733,85,30,261,174,67,247,13,291
,< 1 Year,,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,1-5 Years,,93,0,0,1,1,13,2,2,1,0,5,1,0,0,1,1,3,0,2,2,0,2,0,2,3,0,4,0,2,1,0,2,0,4,3,0,2,1,0,7,0,0,2,0,5,8,0,1,2,2,1,0,0,4
,6-10 Years,,140,2,0,3,2,16,3,0,0,1,6,1,2,1,11,4,2,1,2,0,0,4,1,6,3,1,0,0,0,0,0,2,0,9,0,0,12,3,1,6,0,0,3,2,2,13,0,0,1,0,3,4,0,7
,11-17 Years,,436,5,2,10,3,44,2,2,0,0,12,6,1,3,31,4,9,2,6,8,4,7,6,17,10,9,9,0,0,3,0,11,1,32,22,4,24,5,7,15,1,1,11,1,7,30,7,1,10,5,5,12,0,9
,18-34 Years,,"2,720",71,4,30,25,301,28,21,7,4,95,67,7,10,156,60,43,24,36,59,15,62,59,125,56,30,62,15,18,21,4,66,15,169,69,7,97,40,19,115,12,9,43,10,35,200,20,5,57,48,15,62,4,88
,35-49 Years,,"3,925",76,7,58,42,429,33,43,13,17,164,82,19,10,183,83,54,28,68,69,17,82,98,144,80,29,84,16,15,12,13,116,30,241,107,11,162,59,48,182,20,19,66,7,86,252,36,14,106,70,23,91,6,105
,50-64 Years,,"2,811",48,5,44,25,309,28,30,13,15,151,70,9,2,135,41,41,20,38,47,13,76,68,89,55,33,71,14,15,15,9,93,19,170,58,6,107,32,30,149,10,10,52,9,49,200,20,8,69,42,15,61,3,70
,65 +,,517,3,0,9,4,65,5,0,1,1,43,4,0,2,21,8,13,3,4,7,1,16,11,18,17,0,23,2,2,4,2,20,3,29,8,3,23,3,0,36,0,2,8,3,5,30,2,1,15,7,5,17,0,8
1993,All Recipient Ages,,"10,360",234,16,143,99,"1,216",134,120,30,29,461,218,26,25,477,208,121,82,167,164,33,252,221,387,242,93,208,34,68,67,38,273,57,589,195,23,434,141,102,530,45,28,148,23,203,676,100,17,227,171,57,227,17,464
,< 1 Year,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
,1-5 Years,,145,3,0,3,0,13,3,3,1,1,9,3,1,1,5,1,5,2,5,5,0,3,2,9,5,1,2,1,1,0,0,1,2,4,2,1,4,1,2,5,0,1,2,2,4,9,1,0,4,1,1,4,0,6
,6-10 Years,,135,1,0,1,1,18,0,0,0,0,4,0,0,0,9,6,4,1,2,2,0,2,5,6,0,2,1,0,1,0,1,2,1,8,1,0,4,0,2,5,3,0,4,1,2,26,2,0,0,2,0,2,0,3
,11-17 Years,,376,10,0,5,6,54,9,1,0,2,5,4,0,1,20,3,6,4,6,8,2,3,5,25,6,6,10,3,6,2,1,10,2,26,7,3,9,5,2,18,2,0,4,0,3,18,5,0,10,9,4,7,2,17
,18-34 Years,,"2,815",50,7,45,20,342,40,35,16,9,122,66,4,7,127,60,29,21,51,54,7,55,63,88,67,39,46,11,20,14,11,73,22,160,66,2,113,30,27,132,17,5,45,5,67,176,44,6,60,44,12,56,3,124
,35-49 Years,,"3,759",106,6,48,38,417,45,36,7,12,164,76,16,9,187,80,36,38,56,54,13,104,76,146,89,24,80,11,27,19,14,101,16,214,71,6,141,62,39,190,19,8,57,6,73,258,20,7,86,66,17,81,9,178
,50-64 Years,,"2,674",59,3,33,29,317,31,38,5,4,127,62,4,5,112,52,38,14,41,35,10,76,58,93,58,20,58,7,11,25,10,80,13,147,44,10,131,40,25,137,4,13,33,8,49,165,22,3,59,46,21,69,2,118
,65 +,,450,5,0,8,5,55,6,7,1,1,30,7,1,2,17,6,3,2,6,6,1,9,12,19,17,1,11,1,2,7,1,6,1,27,4,1,32,3,5,43,0,0,3,1,5,23,6,1,8,3,2,8,1,18
1992,All Recipient Ages,,"9,738",190,12,89,92,"1,070",104,89,33,33,464,211,43,32,388,195,96,70,133,145,33,228,182,359,175,62,151,27,52,60,30,208,50,533,181,27,427,115,105,520,36,26,153,19,191,640,76,21,222,138,69,207,10,916
,< 1 Year,,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,1-5 Years,,121,4,0,2,2,13,1,0,0,0,5,3,0,0,5,3,1,2,1,2,1,1,4,6,2,4,1,0,2,0,0,4,0,6,0,1,2,0,0,7,0,1,1,0,6,15,1,1,3,0,1,4,0,3
,6-10 Years,,122,3,0,3,0,9,1,1,0,0,5,1,0,1,4,3,4,0,2,2,0,6,0,6,0,1,4,0,1,3,0,2,0,6,3,0,1,3,0,7,0,1,2,0,3,14,1,0,4,2,2,3,0,8
,11-17 Years,,344,7,0,5,2,61,0,0,1,0,14,6,1,1,9,13,4,2,3,7,1,5,3,14,7,2,5,2,2,3,1,5,2,21,8,0,14,7,3,11,3,0,6,0,6,26,4,0,9,7,1,11,0,19
,18-34 Years,,"2,722",51,3,24,30,303,35,35,8,9,105,65,13,12,123,62,21,23,44,43,10,57,49,103,39,21,52,9,15,14,12,59,11,147,54,7,117,35,28,133,12,9,48,3,52,169,17,8,53,53,20,45,2,250
,35-49 Years,,"3,630",80,6,23,39,370,35,32,12,16,175,82,23,8,145,78,39,30,52,55,15,94,66,145,55,18,53,9,17,13,9,83,24,192,69,8,139,43,46,183,14,10,53,6,77,246,28,7,95,40,20,79,6,368
,50-64 Years,,"2,375",39,2,28,17,270,29,20,10,7,122,50,5,6,94,30,21,11,25,36,6,61,48,73,57,15,28,6,13,21,7,46,10,140,44,10,133,25,25,139,7,4,38,9,39,146,18,5,48,28,17,47,2,238
,
,65 +,,420,6,1,4,2,43,3,1,2,1,37,4,1,4,8,6,6,2,6,0,0,4,12,12,15,1,8,1,2,6,1,9,3,21,3,1,21,2,3,40,0,1,5,1,8,24,7,0,10,8,8,18,0,28
1991,All Recipient Ages,,"9,678",164,21,76,68,987,94,87,17,28,420,149,32,31,330,149,88,70,133,117,39,173,187,320,175,80,146,26,51,49,28,190,61,403,179,25,360,92,81,439,39,20,102,10,164,540,92,22,192,131,55,204,13,"1,929"
,< 1 Year,,10,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
,1-5 Years,,120,1,0,2,1,11,1,1,1,0,5,5,0,0,4,3,0,2,1,5,0,3,4,5,3,1,1,0,1,0,0,6,0,5,2,0,5,2,2,1,2,0,2,1,5,13,0,2,4,0,0,4,0,3
,6-10 Years,,163,3,0,3,2,14,0,1,0,0,9,3,0,3,7,1,6,3,3,1,0,3,5,7,1,3,7,0,1,0,2,2,1,11,7,0,2,4,2,13,0,0,3,0,5,5,1,0,3,1,1,6,0,8
,11-17 Years,,348,7,3,3,1,36,2,2,0,0,11,11,2,0,17,5,5,2,5,4,2,4,4,15,5,6,4,2,0,2,2,10,5,21,10,1,15,8,4,18,3,1,6,1,7,13,4,1,6,4,4,11,0,33
,18-34 Years,,"2,867",51,6,21,20,281,26,20,5,4,120,52,12,9,106,48,20,23,39,29,9,46,62,110,59,25,49,12,17,10,4,66,13,127,55,7,94,28,18,132,12,9,36,3,47,179,28,6,60,30,14,57,6,545
,35-49 Years,,"3,589",74,7,28,29,380,34,42,4,13,157,50,9,9,111,50,31,20,56,45,17,70,64,106,66,27,50,7,21,20,11,66,25,136,70,10,134,30,33,152,15,3,29,2,66,198,37,10,69,56,20,65,4,751
,50-64 Years,,"2,243",28,5,15,12,218,28,20,5,10,89,25,8,9,80,37,20,17,26,29,10,40,47,72,31,17,29,4,10,14,7,35,17,95,33,6,93,20,18,104,7,7,22,2,31,117,15,3,40,36,14,52,3,511
,65 +,,338,0,0,4,3,46,3,1,2,1,28,3,1,1,4,5,5,2,3,4,1,7,1,5,10,1,5,1,1,3,2,3,0,8,2,1,17,0,4,19,0,0,4,1,2,15,7,0,9,4,2,9,0,78
1990,All Recipient Ages,,"9,416",183,7,77,66,622,68,75,19,14,254,93,26,29,214,119,78,50,92,93,36,95,159,210,112,40,106,20,23,23,26,141,29,356,108,24,319,91,37,387,26,29,76,15,107,326,62,17,157,112,49,171,7,"3,741"
,< 1 Year,,8,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
,1-5 Years,,116,3,0,0,2,2,0,2,1,0,4,3,0,0,2,2,2,0,3,1,0,3,1,3,1,1,2,0,1,0,0,1,0,7,2,0,5,2,1,7,0,0,0,0,0,9,2,0,1,3,1,0,0,36
,6-10 Years,,146,4,0,1,1,9,0,2,0,0,1,0,0,0,7,0,0,1,2,4,0,2,1,5,3,1,3,0,0,0,0,3,0,6,2,0,3,3,1,7,0,0,2,1,0,9,6,1,4,2,1,1,0,47
,11-17 Years,,372,8,0,6,2,29,3,1,1,0,8,6,0,1,19,7,2,5,2,5,2,4,6,3,3,2,9,0,1,0,0,7,6,11,4,0,15,10,2,12,1,1,1,0,3,15,3,1,4,3,2,3,0,133
,18-34 Years,,"2,842",69,3,33,19,164,26,21,8,3,78,33,10,14,76,46,23,11,27,29,11,29,49,73,36,11,37,9,10,9,10,51,4,122,35,8,77,26,11,107,6,6,22,5,47,106,14,6,48,31,14,45,2,"1,072"
,35-49 Years,,"3,461",69,4,17,25,226,23,23,3,4,92,34,7,5,76,41,24,17,35,26,13,40,53,89,46,19,28,5,4,6,6,50,11,136,45,6,123,30,14,139,10,9,31,4,28,111,19,5,49,40,15,60,5,"1,461"
,50-64 Years,,"2,175",30,0,16,16,165,13,23,6,7,57,15,9,7,32,22,21,16,22,25,10,16,47,30,18,6,23,5,6,7,8,27,5,67,20,6,87,16,8,97,6,12,18,4,28,68,15,3,45,29,11,60,0,865
,65 +,,296,0,0,4,0,26,3,3,0,0,14,2,0,2,1,1,6,0,1,3,0,1,2,5,5,0,4,1,1,1,2,2,3,7,0,4,9,4,0,18,3,1,2,0,1,8,3,1,6,4,5,2,0,125
1989,All Recipient Ages,,"8,656",161,6,23,50,267,34,44,5,11,117,46,30,15,149,104,51,40,37,26,22,51,86,98,44,29,66,15,14,2,15,44,18,147,37,9,71,45,3,193,16,8,41,5,39,139,14,7,88,29,18,137,1,"5,889"
,< 1 Year,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
,1-5 Years,,118,3,0,0,0,1,0,2,1,0,0,4,2,0,6,4,0,0,0,0,1,2,1,3,2,0,2,0,0,0,0,1,0,4,1,0,0,0,0,6,0,0,1,1,1,5,0,0,1,1,0,0,0,62
,6-10 Years,,146,2,0,0,4,5,2,1,0,1,1,3,0,0,3,2,0,1,0,0,2,0,0,4,1,1,1,0,0,0,0,0,0,3,1,0,0,1,0,5,0,0,0,0,2,1,1,0,1,1,0,1,0,95
,11-17 Years,,366,3,0,1,0,17,1,1,1,0,3,4,2,0,10,5,2,1,2,2,0,4,3,4,3,3,5,0,1,0,0,3,3,8,6,0,3,5,1,7,2,0,2,0,2,17,4,0,6,2,1,6,0,210
,18-34 Years,,"2,697",65,2,11,16,97,10,16,2,4,36,14,13,5,48,33,12,12,13,5,8,14,25,35,14,13,21,7,5,1,2,14,6,42,5,3,31,20,0,66,5,4,11,2,12,53,3,4,30,9,7,45,1,"1,765"
,35-49 Years,,"3,200",54,2,7,18,85,15,15,1,2,47,16,10,6,52,41,26,15,15,15,6,20,35,31,15,11,22,6,6,1,10,17,4,55,22,3,23,11,2,60,7,3,19,1,16,37,2,1,38,12,5,39,0,"2,218"
,50-64 Years,,"1,918",32,2,4,12,51,5,9,0,4,26,5,3,1,27,19,11,11,7,4,5,10,21,17,7,1,15,2,2,0,2,8,4,31,1,3,11,5,0,44,2,1,8,1,6,23,3,2,10,3,4,38,0,"1,395"
,65 +,,205,2,0,0,0,11,1,0,0,0,4,0,0,3,3,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,1,1,1,4,1,0,2,3,0,5,0,0,0,0,0,3,1,0,2,1,1,7,0,141
1988,All Recipient Ages,,"8,878",138,0,9,28,209,27,48,11,17,57,56,15,8,127,96,46,23,31,15,4,39,63,84,29,22,36,3,20,1,6,45,21,106,35,0,75,45,10,213,13,14,31,4,57,107,21,8,79,23,12,125,0,"6,566"
