,,,All Recipient States of Residence,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
To Date,All Recipient Ages,,"556,302","8,571",794,"10,582","4,266","61,778","7,139","5,729","1,792","1,522","29,701","14,141","1,934","2,093","26,399","9,917","5,540","4,200","6,325","7,471","1,885","13,854","11,493","18,942","10,383","4,978","10,170","1,400","3,222","3,555","1,770","17,186","3,136","37,954","15,024","1,291","20,983","5,305","5,047","25,899","2,917","1,831","8,166","1,483","10,541","41,489","4,211",880,"15,508","9,658","3,010","10,537",657,"22,043"
,11-17 Years,,497,3,1,15,3,55,10,5,2,2,26,11,0,3,25,9,4,2,7,10,3,11,9,9,10,8,14,0,2,1,2,19,3,31,11,4,15,4,5,21,0,3,5,1,9,56,7,2,9,16,1,11,1,1
,18-34 Years,,"2,975",45,7,52,30,368,57,28,4,13,156,129,4,16,170,48,29,27,17,56,5,60,42,56,49,19,47,5,13,25,7,81,19,232,97,6,102,28,27,88,17,10,50,12,62,340,42,2,72,53,11,34,2,4
,35-49 Years,,"6,115",103,8,100,82,694,71,71,15,14,338,260,19,28,349,126,40,44,59,98,12,122,112,169,111,63,82,13,28,64,14,146,32,437,198,9,224,46,62,175,23,15,133,19,143,645,67,3,196,114,23,88,4,4
,50-64 Years,,"9,492",161,16,186,87,"1,068",108,92,29,28,558,365,33,39,499,176,79,76,108,134,26,215,168,202,132,89,156,24,50,104,24,310,44,785,288,17,406,60,75,351,35,26,161,17,199,935,82,2,304,164,51,123,16,9
,65 +,,"5,269",68,9,133,56,562,96,63,17,10,347,157,16,23,258,79,62,48,51,59,15,141,111,164,83,36,143,18,36,37,4,170,31,413,153,12,270,27,44,201,15,16,100,14,93,386,42,9,165,97,38,61,7,3
2020,All Recipient Ages,,"22,817",352,24,483,194,"2,682",339,254,58,61,"1,612",745,61,107,"1,064",431,242,215,274,295,49,518,371,578,310,208,461,47,133,190,57,650,121,"1,429",740,30,"1,015",196,208,932,85,63,375,41,481,"2,108",179,13,792,415,135,342,27,25
,1-5 Years,,184,5,1,5,4,24,4,1,0,0,10,3,0,2,8,3,3,3,0,2,0,5,1,9,5,1,4,0,1,2,0,3,1,6,5,0,5,5,2,9,1,1,2,0,6,19,2,0,4,3,0,1,0,3
,6-10 Years,,129,1,0,2,2,17,2,0,0,1,9,2,0,1,6,3,1,2,2,3,1,5,1,2,3,2,1,0,0,1,0,5,1,6,5,0,1,1,5,2,1,0,2,0,3,15,4,0,2,3,0,2,0,1
,11-17 Years,,397,5,0,8,5,58,8,4,1,0,24,19,0,3,23,12,2,1,6,6,1,4,10,8,4,4,4,4,1,2,1,5,2,19,14,0,13,6,5,11,2,2,5,3,3,35,6,0,14,14,0,6,1,3
,18-34 Years,,"2,639",42,3,54,21,368,44,30,7,13,178,70,8,26,105,65,21,21,32,44,6,52,44,60,35,24,52,8,20,27,5,62,14,155,79,3,91,21,37,90,5,9,30,6,50,291,31,1,78,55,8,33,3,2
