,,All Diagnoses,"Congenital, Rare, Familial, and Metaboli",Diabetes,Glomerular Disease,Hypertensive Nephrosclerosis,Neoplasms,Not Reported,Other,Polycystic Kidneys,Renovascular and Other Vascular Disease,Retransplant/Graft Failure,Tubular and Interstitial Diseases
,6-10 Years,130,35,2,34,0,1,0,33,6,0,9,10
,11-17 Years,454,110,0,145,6,5,0,143,10,0,12,23
,18-34 Years,"2,012",111,96,860,263,7,0,277,43,29,211,115
,35-49 Years,"4,417",63,751,"1,215",923,15,0,400,442,59,404,145
,50-64 Years,"6,679",47,"2,164","1,020","1,353",24,0,550,788,104,337,292
,65 +,"2,951",17,"1,063",343,743,17,0,267,217,60,77,147
2010,All Recipient Ages,"16,900",404,"3,979","3,847","3,347",56,0,"1,676","1,516",295,"1,097",683
,< 1 Year,1,0,0,0,0,0,0,1,0,0,0,0
,1-5 Years,158,54,0,14,0,4,0,66,8,0,2,10
,6-10 Years,144,40,0,45,1,2,0,37,5,0,5,9
,11-17 Years,445,98,2,155,8,4,0,118,10,4,20,26
,18-34 Years,"2,167",98,123,959,257,4,0,331,41,26,228,100
,,,,,,,,,,,,,
,35-49 Years,"4,485",63,761,"1,241",999,9,0,345,420,70,429,148
,50-64 Years,"6,686",38,"2,157","1,059","1,334",20,0,540,824,121,338,255
,65 +,"2,814",13,936,374,748,13,0,238,208,74,75,135
2009,All Recipient Ages,"16,829",479,"3,863","3,719","3,381",62,0,"1,766","1,490",335,"1,029",705
,< 1 Year,4,1,0,0,0,0,0,3,0,0,0,0
,1-5 Years,179,46,0,24,2,1,0,79,14,1,0,12
,6-10 Years,156,62,0,27,3,5,0,35,6,2,5,11
,11-17 Years,528,118,1,143,16,2,0,154,10,7,33,44
,18-34 Years,"2,205",126,141,949,311,2,0,276,34,33,226,107
,35-49 Years,"4,544",75,774,"1,263",986,11,0,392,431,93,371,148
,50-64 Years,"6,552",29,"2,067","1,026","1,330",21,0,570,776,142,329,262
,65 +,"2,661",22,880,287,733,20,0,257,219,57,65,121
2008,All Recipient Ages,"16,521",414,"3,814","3,614","3,256",52,0,"1,919","1,429",338,948,737
,< 1 Year,1,0,0,0,0,0,0,1,0,0,0,0
,1-5 Years,137,46,0,13,0,3,0,58,9,0,2,6
,6-10 Years,149,58,0,28,0,1,0,40,4,0,7,11
,11-17 Years,486,89,0,163,5,1,0,142,8,2,26,50
,18-34 Years,"2,254",119,136,905,336,1,0,357,42,44,200,114
,35-49 Years,"4,460",58,764,"1,219",933,10,0,423,467,89,346,151
,50-64 Years,"6,517",37,"2,074",977,"1,324",21,0,626,747,143,295,273
,65 +,"2,517",7,840,309,658,15,0,272,152,60,72,132
2007,All Recipient Ages,"16,634",392,"3,708","3,589","3,294",50,6,"2,089","1,460",354,969,723
,< 1 Year,2,1,0,0,0,0,0,1,0,0,0,0
,1-5 Years,162,54,0,11,0,2,0,76,5,1,0,13
,6-10 Years,141,34,0,32,0,0,0,52,5,0,6,12
,11-17 Years,491,89,0,168,8,2,0,140,7,6,31,40
,18-34 Years,"2,265",107,137,892,356,4,1,350,59,39,210,110
,35-49 Years,"4,677",68,787,"1,219",989,8,1,495,469,101,371,169
