,,,All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
,< 1 Year,,255,157,31,54,0,7,3,0,3
,1-5 Years,,477,256,94,102,0,19,2,2,2
,6-10 Years,,279,163,47,60,1,5,2,0,1
,11-17 Years,,746,447,131,127,2,21,7,6,5
,
,18-34 Years,,"3,585","2,030",814,568,1,139,14,13,6
,35-49 Years,,"7,868","5,189","1,473",871,4,242,50,30,9
,50-64 Years,,"9,537","6,605","1,503",987,1,333,69,33,6
,65 +,,"2,168","1,523",277,235,0,106,18,7,2
,Unknown,,1,0,0,0,1,0,0,0,0
2001,All Recipient Ages,,"24,243","16,109","4,268","2,782",4,820,163,91,6
,< 1 Year,,269,143,49,62,1,12,0,0,2
,1-5 Years,,492,279,89,99,1,20,2,2,0
,6-10 Years,,245,144,46,45,0,6,3,0,1
,11-17 Years,,726,417,121,160,0,20,6,1,1
,18-34 Years,,"3,707","2,165",833,524,0,146,18,20,1
,35-49 Years,,"7,779","5,161","1,431",844,1,254,52,35,1
,50-64 Years,,"9,151","6,435","1,446",890,1,281,70,28,0
,65 +,,"1,874","1,365",253,158,0,81,12,5,0
2000,All Recipient Ages,,"23,274","15,696","3,959","2,597",0,756,171,89,6
,< 1 Year,,268,156,38,58,0,12,1,3,0
,1-5 Years,,403,244,74,66,0,13,1,5,0
,6-10 Years,,284,166,53,60,0,4,1,0,0
,11-17 Years,,652,390,120,116,0,23,2,1,0
,18-34 Years,,"3,559","2,140",749,486,0,145,22,15,2
,35-49 Years,,"7,860","5,302","1,395",836,0,237,58,31,1
,50-64 Years,,"8,428","5,935","1,304",813,0,269,74,31,2
,65 +,,"1,820","1,363",226,162,0,53,12,3,1
1999,All Recipient Ages,,"22,030","14,983","3,784","2,309",1,692,184,74,3
,< 1 Year,,275,176,48,40,0,6,4,0,1
,1-5 Years,,409,250,67,71,0,17,2,0,2
,6-10 Years,,279,184,45,44,0,3,3,0,0
,11-17 Years,,700,432,151,94,0,12,9,2,0
,18-34 Years,,"3,538","2,054",838,489,0,123,24,10,0
,35-49 Years,,"7,516","5,211","1,261",723,1,232,57,31,0
,50-64 Years,,"7,794","5,531","1,186",721,0,260,73,23,0
,65 +,,"1,519","1,145",188,127,0,39,12,8,0
1998,All Recipient Ages,,"21,526","14,672","3,648","2,296",4,674,150,80,2
,< 1 Year,,291,197,35,48,0,7,1,2,1
,1-5 Years,,391,218,90,65,0,13,3,2,0
,6-10 Years,,313,201,50,52,0,5,3,2,0
,11-17 Years,,661,419,129,83,0,16,8,6,0
